id,cat_type,name,parent_id,sort_order,description,code,space_id,space_code,valid_flag,del_flag,create_by,creator_id,create_time,update_by,updater_id,update_time
1,ASSET,默认类目,0,0,,A01,1,BANK_CUSTOMER_ACCOUNT,True,True,吴大同,1,2025-09-16 17:05:11,吴大同,1,2025-09-16 17:05:11
2,ASSET,基础数据,0,2,资产的基础数据类目,A01,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:36:45,吴同,2,2025-09-18 16:40:11
3,ASSET,水利工程,2,0,水利工程的基础数据类目,A01A01,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:36:56,吴同,2,2025-09-18 16:36:56
4,ASSET,监测站（点）,2,0,监测站（点）的基础数据类目,A01A02,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:37:11,吴同,2,2025-09-18 16:37:11
5,ASSET,江河湖泊,0,1,水利业务方面的江河湖泊类目,A02,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:38:44,吴同,2,2025-09-18 16:38:44
6,ASSET,流域,5,0,流域的基础数据类目,A02A01,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:38:54,吴同,2,2025-09-18 16:38:54
7,ASSET,河流,5,0,河流的基础数据类目,A02A02,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:39:07,吴同,2,2025-09-18 16:39:07
8,ASSET,湖泊,5,0,湖泊的基础数据类目,A02A03,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:39:18,吴同,2,2025-09-18 16:39:18
12,ASSET,水环境,9,0,水环境相关数据，包括调查、评估和治理信息,A03A03,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,2,2025-09-18 16:40:40,吴同,2,2025-09-18 16:40:40
21,ASSET,水资源调度,16,0,,A04A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:00:49,吴同,2,2025-09-19 17:00:49
22,ASSET,水旱灾害防御,16,1,,A04A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:00:55,吴同,2,2025-09-19 17:00:55
23,ASSET,水文监测,16,2,,A04A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:05,吴同,2,2025-09-19 17:01:05
24,ASSET,水资源调度,17,0,,A05A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:16,吴同,2,2025-09-19 17:01:16
25,ASSET,水旱灾害防御,17,1,,A05A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:21,吴同,2,2025-09-19 17:01:21
26,ASSET,水文监测,17,2,,A05A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:29,吴同,2,2025-09-19 17:01:29
27,ASSET,水利工程,17,3,,A05A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:36,吴同,2,2025-09-19 17:01:36
28,ASSET,农村水利,17,4,,A05A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:48,吴同,2,2025-09-19 17:01:48
29,ASSET,水资源调度,18,0,,A06A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:01:56,吴同,2,2025-09-19 17:01:56
30,ASSET,水旱灾害防御,18,1,,A06A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:02:03,吴同,2,2025-09-19 17:02:03
31,ASSET,水文监测,18,2,,A06A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:02:09,吴同,2,2025-09-19 17:02:09
32,ASSET,水利工程,18,3,,A06A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:02:20,吴同,2,2025-09-19 17:02:20
33,ASSET,农村水利,18,4,,A06A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:02:27,吴同,2,2025-09-19 17:02:27
9,ASSET,信贷资产,0,0,贷款、垫款等信贷类资产,A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-18 16:39:38,吴同,2,2025-09-19 17:03:14
10,ASSET,公司贷款,9,2,对公流动资金贷款、项目贷款,A03A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-18 16:40:03,吴同,2,2025-09-19 17:00:12
11,ASSET,个人贷款,9,0,个人住房贷款、消费贷款、经营贷款,A03A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-18 16:40:29,吴同,2,2025-09-19 16:57:37
13,ASSET,票据资产,9,3,银行承兑汇票、商业承兑汇票,A03A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-18 16:40:52,吴同,2,2025-09-19 17:00:17
14,ASSET,投资资产,9,4,债券投资、基金投资、股权投资,A03A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-18 16:41:10,吴同,2,2025-09-19 17:00:22
15,ASSET,现金及存放,9,1,库存现金、存放央行、存放同业,A03A06,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-18 16:41:23,吴同,2,2025-09-19 17:00:06
16,ASSET,同业资产,0,1,拆出资金、买入返售金融资产,A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 16:56:47,吴同,2,2025-09-23 09:33:06
17,ASSET,固定资产,0,2,办公设备、房产、交通工具,A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 16:57:10,吴同,2,2025-09-23 09:33:33
18,ASSET,无形资产,0,3,软件系统、专利权、商标权,A06,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 16:57:17,吴同,2,2025-09-23 09:33:53
19,ASSET,表外资产,16,3,承诺、担保、信用证等表外业务,A04A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 16:59:40,吴同,2,2025-09-19 17:00:41
20,ASSET,不良资产,16,4,次级、可疑、损失类贷款,A04A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 16:59:46,吴同,2,2025-09-19 17:00:30
34,TASK,水质与生态,0,3,,A06,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:17:41,吴同,2,2025-09-19 17:17:41
35,TASK,报表与统计,34,0,,A06A01,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,2,2025-09-19 17:17:54,吴同,2,2025-09-19 17:18:04
36,TASK,报表与统计,33,0,,A05A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:18:17,吴同,2,2025-09-19 17:18:17
37,TASK,分析与建模,33,1,,A05A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:18:22,吴同,2,2025-09-19 17:18:22
38,TASK,批处理开发,33,2,,A05A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:18:34,吴同,2,2025-09-19 17:18:34
39,TASK,流处理开发,33,3,,A05A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:18:40,吴同,2,2025-09-19 17:18:40
40,TASK,汇总与专题,33,4,,A05A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:18:48,吴同,2,2025-09-19 17:18:48
41,TASK,服务与发布,33,5,,A05A06,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:18:53,吴同,2,2025-09-19 17:18:53
42,TASK,安全与治理,33,6,,A05A07,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:00,吴同,2,2025-09-19 17:19:00
43,TASK,报表与统计,34,0,,A06A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:11,吴同,2,2025-09-19 17:19:11
44,TASK,分析与建模,34,1,,A06A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:20,吴同,2,2025-09-19 17:19:36
45,TASK,批处理开发,34,2,,A06A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:27,吴同,2,2025-09-19 17:19:27
46,TASK,流处理开发,34,3,,A06A04,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:42,吴同,2,2025-09-19 17:19:42
